"","Region","Life_expectancy","Adult_mortality","Hepatitis_B","Incidents_HIV","GDP_per_capita","Economy_status_Developed"
"191","Asia",62.3,219.9305,85,0.42,682,0
"192","Central America and Caribbean",76.2,125.1955,85,0.4,9169,0
"193","Middle East",76.2,70.3255,99,0.05,20774,0
"194","Africa",57.1,321.3015,88,2.19,781,0
"195","Asia",82,68.9285,83,0.17,32515,1
"196","Africa",50.6,496.836,83,9.29,3647,0
"197","Africa",69.1,149.3995,66,0.39,1983,0
"198","Africa",49.4,485.3535,44,4.15,573,0
"199","Asia",66.3,267.527,94,0.09,8438,0
"200","Central America and Caribbean",75.1,141.425,98,0.4,10531,0
"201","Africa",68.6,157.104,66,0.39,1974,0
"202","European Union",79.7,79.5175,87,0.08,38278,1
"203","Rest of Europe",73.6,163.872,99,0.22,5967,0
"204","Central America and Caribbean",73.3,153.912,97,0.08,2121,0
"205","Africa",60.6,237.7735,84,0.49,1134,0
"206","Africa",53.7,371.415,82,2.43,1249,0
"207","Asia",70.1,204.619,88,0.06,2611,0
"208","Asia",75.5,77.1955,98,0.17,8222,0
"209","Central America and Caribbean",71.4,173.308,88,0.13,1616,0
"210","Asia",64.2,260.269,98,0.02,1784,0
"211","Middle East",69,165.8675,66,0.13,4284,0
"212","Central America and Caribbean",60.9,257.386,60,0.83,1343,0
"213","South America",77.1,107.92,94,0.26,15168,0
"214","Asia",69.8,141.6765,62,0.15,4327,0
"215","Asia",63.3,185.0715,64,0.13,1040,0
"216","Asia",78,80.151,97,0.14,34891,0
"217","Africa",59.4,242.9655,64,0.89,3128,0
"218","Asia",68.2,155.0385,50,0.2,2078,0
"219","Oceania",71.9,151.628,88,0.17,2195,0
"220","Rest of Europe",71.2,202.8,22,0.23,2125,0
"221","Africa",61.4,233.387,89,0.42,1130,0
"222","Asia",69.3,220.149,97,0.14,2479,0
"223","Asia",71.5,132.0885,88,0.07,5195,0
"224","Rest of Europe",72.4,147.6935,82,0.01,3808,0
"225","Africa",56.6,270.291,71,0.12,424,0
"226","Central America and Caribbean",60.5,262.206,60,0.9,1297,0
"227","European Union",74.2,136.22,99,0.01,12396,1
"228","Central America and Caribbean",72,174.6025,93,0.57,35697,0
"229","European Union",78.8,99.9665,88,0.08,42531,1
"230","European Union",77.5,95.0035,88,0.04,50792,1
"231","Africa",75,98.3545,98,0.04,3955,0
"232","Asia",72.9,168.9115,96,0.3,4827,0
"233","European Union",81.4,86.8955,51,0.1,35131,1
"234","Oceania",72.4,117.105,60,0.17,3961,0
"235","Asia",65.3,203.6355,41,0.17,616,0
"236","Central America and Caribbean",77.4,117.765,80,0.4,12695,0
"237","European Union",80.7,68.994,95,0.07,46221,1
"238","Middle East",61.2,251.422,19,0.02,2404,0
"239","European Union",79.5,80.746,86,0.08,37842,1
"240","Asia",68.7,143.711,93,0.23,783,0
"241","Central America and Caribbean",71.2,177.622,86,0.13,1573,0
"242","Central America and Caribbean",79.6,85.6715,92,0.19,11643,0
"243","Africa",47.9,413.041,27,1.21,421,0
"244","Africa",72,136.8525,98,0.09,6670,0
"245","Rest of Europe",79.8,74.4275,88,0.02,71655,1
"246","European Union",82.1,82.572,74,0.1,36246,1
"247","Central America and Caribbean",72.5,158.902,93,0.11,2141,0
"248","Middle East",68.2,183.716,59,0.13,3620,0
"249","Central America and Caribbean",74.6,148.7125,96,0.4,10528,0
"250","South America",72.5,153.271,85,0.15,4350,0
"251","European Union",81.4,60.608,59,0.08,46043,1
"252","European Union",71.9,156.0455,88,0.02,4260,1
"253","European Union",77.2,111.937,88,0.03,18568,1
"254","Rest of Europe",76,110.706,91,0.03,6169,0
"255","Africa",61.7,261.1205,82,0.08,482,0
"256","Africa",52.9,466.265,94,6.05,1249,0
"257","European Union",74.4,139.7255,96,0.04,7810,1
"258","Africa",65.9,197.0095,92,0.12,1141,0
"259","European Union",79.3,72.132,88,0.06,42202,1
"260","European Union",71,171.852,99,0.05,5225,1
"261","European Union",72.6,186.7535,95,0.08,14631,1
"262","Africa",51.7,316.589,58,3.5,776,0
"263","Africa",63.3,239.3415,69,0.28,518,0
"264","Asia",74.5,91.9455,96,0.1,33981,0
"265","Africa",58.7,259.34,75,0.65,1001,0
"266","European Union",80.4,75.779,88,0.03,39977,1
"267","European Union",73.8,165.2735,90,0.24,12410,1
"268","Africa",53.7,311.914,69,0.78,364,0
"269","Middle East",82.1,56.337,96,0.08,35808,1
"270","Africa",71.1,175.73,99,3.5,10714,0
"271","Middle East",63.5,246.5985,80,0.02,2536,0
"272","Oceania",81.5,67,92,0.03,38631,1
"273","Africa",59.7,267.1495,71,0.02,1183,0
"274","Oceania",81.2,67.5135,93,0.03,36521,1
"275","European Union",76.2,103.109,97,0.02,11871,1
"276","Middle East",72,131.274,77,0.08,7195,0
"277","Asia",68,172.406,92,0.17,754,0
"278","Asia",67.1,166.736,50,0.16,1615,0
"279","European Union",79.1,99.7875,26,0.11,33597,1
"280","European Union",81.1,70.358,88,0.03,40851,1
"281","European Union",74.6,117.911,96,0.02,10510,1
"282","Asia",67.7,221.7345,90,0.13,837,0
"283","Oceania",68.5,157.5085,59,0.17,2776,0
"284","Oceania",70.4,135.663,98,0.17,4276,0
"285","European Union",82,55.5025,67,0.08,49049,1
"286","Africa",60.8,228.7,61,0.47,1252,0
"287","Central America and Caribbean",72.4,160.5665,98,0.12,1679,0
"288","Africa",56.8,345.9945,86,2.76,765,0
"289","European Union",71,220.941,91,0.18,13186,1
"290","Africa",54.7,390.9155,71,2.14,2080,0
"291","Africa",72.2,162.877,99,3.5,11562,0
"292","Africa",58.9,285.3095,97,1.44,512,0
"293","Rest of Europe",74.6,118.2535,92,0.08,2913,0
"294","European Union",81.6,59.186,96,0.08,31615,1
"295","Central America and Caribbean",68.7,194.199,97,0.16,1486,0
"296","Asia",66.7,191.5935,38,0.1,1244,0
"297","Africa",51.5,302.471,83,3.09,550,0
"298","Central America and Caribbean",72.2,170.1225,96,0.04,3732,0
"299","European Union",78.8,62.643,93,0.04,26394,1
"300","European Union",79.8,78.907,88,0.08,36190,1
"301","Africa",53.1,363.167,46,0.42,776,0
"302","South America",73.1,150.294,53,0.4,11433,0
"303","European Union",80.9,64.5655,95,0.07,46339,1
"304","Oceania",72.2,148.087,98,0.17,2167,0
"305","South America",73.9,136.066,66,0.15,8943,0
"306","European Union",80.8,73.3,97,0.09,26763,1
"307","Africa",62.2,266.645,75,1.73,7086,0
"308","Rest of Europe",76.4,102.857,87,0.03,6307,0
"309","Rest of Europe",75.2,119.055,91,0.02,5525,0
"310","European Union",80.7,78.8295,98,0.14,18585,1
"311","Africa",50.9,355.929,42,0.13,174,0
"312","Africa",58.3,285.0805,95,1.39,686,0
"313","Africa",58.8,261.2055,71,0.07,464,0
"314","Asia",64.7,206.6325,82,0.25,825,0
"315","Oceania",64.7,212.398,88,0.17,1497,0
"316","Africa",54.1,332.349,46,3.69,8745,0
"317","Middle East",81.4,61.931,98,0.08,31323,1
"318","Middle East",73.3,87.276,99,0.13,29591,0
"319","Central America and Caribbean",71.2,176.2405,99,0.4,6313,0
"320","Africa",44.6,598.586,81,9.38,794,0
"321","Central America and Caribbean",71.7,163.6655,99,0.4,7098,0
"322","Central America and Caribbean",72.8,164.4115,80,0.43,6187,0
"323","Central America and Caribbean",74,133.3495,92,0.5,4890,0
"324","Middle East",73,121.2965,99,0.12,5260,0
"325","Africa",58.7,336.291,96,0.38,762,0
"326","Asia",64.3,217.0295,74,0.17,1586,0
"327","European Union",78.2,81.98,88,0.06,41087,1
"328","Asia",70.3,139.3125,96,0.01,1024,0
"329","North America",74.9,126.16,97,0.15,8581,0
"330","Middle East",70.2,151.603,99,0.08,3923,0
"331","Middle East",69.9,162.9175,56,0.13,4688,0
"332","Middle East",77.6,73.269,80,0.03,7295,0
"333","Asia",64.2,179.458,78,0.13,1217,0
"334","Africa",57,270.2885,87,1.58,603,0
"335","Asia",71.7,184.5775,96,0.42,4263,0
"336","Central America and Caribbean",71.5,177.598,94,0.08,3606,0
"337","Asia",67.9,221.239,94,0.17,900,0
"338","European Union",80.9,69.0215,92,0.08,44550,1
"339","Africa",56.6,277.2635,69,0.44,701,0
"340","Middle East",75.3,77.801,98,0.05,22344,0
"341","Rest of Europe",69.7,238.2245,97,0.08,9124,0
"342","Africa",52.3,299.375,83,3.02,562,0
"343","Asia",65.4,214.822,98,0.08,3057,0
"344","Central America and Caribbean",74.7,146.8905,95,0.4,10099,0
"345","Rest of Europe",72,192.409,97,0.23,6048,0
"346","European Union",78.3,91.6555,97,0.18,19951,1
"347","Oceania",67.4,181.1765,70,0.17,2837,0
"348","Oceania",66.8,169.018,82,0.17,3076,0
"349","Asia",64.4,178.0545,75,0.13,1247,0
"350","Africa",47.8,528.961,93,6.42,289,0
"351","Asia",66.3,192.0885,63,0.17,1968,0
"352","Asia",62.5,236.221,64,0.03,569,0
"353","North America",76.6,113.6425,90,0.13,48746,1
"354","Oceania",68.2,164.9795,63,0.17,2553,0
"355","Central America and Caribbean",65.3,204.863,75,0.53,1282,0
"356","Africa",57.1,352.9365,81,5.5,1244,0
"357","Oceania",61.4,238.9705,59,0.39,1991,0
"358","Central America and Caribbean",69.7,185.7315,66,0.94,4249,0
"359","Africa",55.9,327.4155,46,4.58,14099,0
"360","South America",74.4,132.268,93,0.15,5178,0
"361","Asia",60.7,234.2095,74,0.53,381,0
"362","Africa",57.9,272.347,75,0.46,433,0
"363","Africa",71.9,135.266,97,0.08,12760,0
"364","Asia",68.5,186.9555,82,0.21,2514,0
"365","Africa",45.5,459.6215,75,1.36,476,0
"366","European Union",79.9,77.449,97,0.09,25655,1
"367","Rest of Europe",72.1,138.447,91,0.08,1619,0
"368","European Union",73.9,163.682,88,0.08,11167,1
"369","Africa",55.6,375.1285,71,2.19,2172,0
"370","Middle East",65.5,235.0695,76,0.03,2722,0
"371","Central America and Caribbean",71.9,177.125,90,0.4,18189,0
"372","Rest of Europe",75.2,84.4915,98,0.03,2676,0
"373","Middle East",82.2,56.744,97,0.08,35711,1
"374","South America",72.9,170.6395,78,0.26,3962,0
"375","Central America and Caribbean",71.2,167.5135,94,0.36,1810,0
"376","Africa",50.9,402.122,75,3.5,429,0
"377","Africa",44.1,541.331,45,3.88,470,0
"378","Asia",65.7,281.374,99,0.05,6046,0
"379","Oceania",66.7,202.588,95,0.17,1453,0
"380","Africa",61.6,266.317,62,0.36,453,0
"381","Rest of Europe",81,69.542,88,0.08,43621,1
"382","Central America and Caribbean",70,187.653,96,1.34,4809,0
"383","Middle East",73.4,85.484,99,0.13,34322,0
"384","Africa",50.6,290.6955,72,0.44,413,0
"385","Middle East",73.2,88.2055,99,0.13,29186,0
"386","Central America and Caribbean",71.9,158.0595,96,0.4,6810,0
"387","Africa",74.4,82.9485,98,0.05,2534,0
"388","European Union",79,79.534,92,0.04,22118,1
"389","European Union",80.8,67.3805,95,0.07,46001,1
"390","Africa",58.3,261.384,82,0.73,981,0
"391","European Union",77.8,94.658,86,0.06,94244,1
"392","Africa",48.1,328.1605,78,1.07,572,0
"393","Africa",60.5,341.1665,89,4.91,4588,0
"394","South America",77.2,106.8025,95,0.24,15609,0
"395","Africa",59.6,279.1605,89,0.48,1267,0
"396","Africa",73.1,152.634,99,3.5,14260,0
"397","Middle East",76.2,107.701,96,0.08,10550,0
"398","Asia",75.6,117.8205,99,0.01,3177,0
"399","North America",75.1,119.005,95,0.16,8569,0
"400","Central America and Caribbean",78.5,91.899,96,0.16,7318,0
"401","European Union",79.1,97.437,28,0.11,34190,1
"402","Africa",59,326.2865,78,2.62,818,0
"403","Africa",45.3,531.8035,88,17.36,3206,0
"404","Asia",63.8,263.9875,98,0.01,1685,0
"405","Africa",47.2,406.792,29,1.15,1764,0
"406","Asia",67.4,163.946,50,0.18,1754,0
"407","Africa",61.3,221.8,42,0.37,1379,0
"408","Middle East",82.1,58.2,97,0.08,34961,1
"409","Middle East",73.6,128.9725,83,0.13,1579,0
"410","Rest of Europe",74.3,126.937,93,0.08,3511,0
"411","Africa",56.3,325.0465,46,4.63,14614,0
"412","Asia",67.2,194.059,98,0.08,5250,0
"413","Asia",68.7,226.753,99,0.12,9507,0
"414","Asia",67.2,191.823,99,0.02,1277,0
"415","Africa",50.9,494.617,83,10.31,3211,0
"416","Central America and Caribbean",74.5,146.5195,97,0.07,2302,0
"417","European Union",74.9,149.61,88,0.08,11557,1
"418","European Union",76.5,101.45,97,0.02,11749,1
"419","Africa",54.6,335.756,46,4.02,13283,0
"420","Africa",58.6,310.2645,52,2.5,7092,0
"421","European Union",74,138.1965,99,0.01,10717,1
"422","Africa",43.1,617.2135,60,16.29,804,0
"423","Africa",47.2,522.318,54,4.48,527,0
"424","Africa",72,135.968,94,0.08,7723,0
"425","Rest of Europe",67.8,255.8925,74,0.61,1561,0
"426","Central America and Caribbean",75,143.2465,99,0.4,10619,0
"427","Africa",59.6,262.871,54,0.74,769,0
"428","European Union",80.7,63.6035,60,0.08,47865,1
"429","Central America and Caribbean",69.1,192.893,95,0.18,1554,0
"430","European Union",76.2,129.3125,98,0.08,10859,1
"431","Middle East",72.3,126.1305,97,0.13,3923,0
"432","European Union",79.8,76.0095,94,0.1,32351,1
"433","Oceania",69.5,167.599,86,0.17,3433,0
"434","South America",79.3,92,90,0.19,13272,0
"435","Middle East",73.2,102.8635,96,0.13,18220,0
"436","Asia",73.2,130.2105,95,0.24,6728,0
"437","Rest of Europe",68.6,251.835,56,0.1,3139,0
"438","Rest of Europe",81.6,51.6075,88,0.04,53821,1
"439","European Union",81.4,61.3625,97,0.08,34081,1
"440","Central America and Caribbean",70.2,182.5815,79,0.85,4256,0
"441","North America",81,71.2685,42,0.1,40368,1
"442","South America",73.8,137.696,73,0.16,10146,0
"443","Oceania",62.3,232.8715,66,0.37,2211,0
"444","European Union",82.2,53.4415,67,0.08,51545,1
"445","Asia",80.4,63.981,96,0.13,46180,0
"446","Africa",45.2,514.5715,45,2.69,467,0
"447","Middle East",71.6,138.2585,95,0.16,4683,0
"448","European Union",79.4,78.6205,94,0.06,23369,1
"449","Rest of Europe",75.2,110.264,93,0.08,3502,0
"450","European Union",78.9,84.758,90,0.08,35310,1
"451","Central America and Caribbean",76.6,122.8365,85,0.4,9840,0
"452","Asia",70.8,175.564,78,0.15,3332,0
"453","European Union",80.7,68.771,95,0.07,45932,1
"454","Central America and Caribbean",69,195.111,96,1.26,4353,0
"455","Africa",54.3,333.4845,46,3.86,11559,0
"456","Africa",59.3,319.8945,75,2.09,2272,0
"457","Africa",52.8,386.9125,79,2.76,1218,0
"458","European Union",79.9,78.393,83,0.08,42496,1
"459","Africa",55.7,292.737,65,0.62,392,0
"460","South America",71,172.944,86,0.54,9673,0
"461","European Union",78.4,65.7605,88,0.03,23929,1
"462","European Union",78,69.0645,89,0.03,22382,1
"463","Asia",59.9,259.806,64,0.02,399,0
"464","European Union",70.4,213.0375,93,0.08,9960,1
"465","Rest of Europe",72.8,145.711,85,0.08,3093,0
"466","Central America and Caribbean",71.9,190.144,90,1,35794,0
"467","European Union",78.6,87.6535,83,0.08,39815,1
"468","Asia",74.9,130.047,95,0.16,2123,0
"469","Rest of Europe",80.8,66.481,88,0.03,72823,1
"470","Oceania",66.1,205.968,95,0.17,1366,0
"471","Central America and Caribbean",67.9,196.7465,96,0.27,1431,0
"472","Asia",67.1,257.3335,99,0.1,8555,0
"473","Africa",56.1,344.63,79,3.5,569,0
"474","Central America and Caribbean",73.2,161.617,81,0.38,6922,0
"475","Africa",58.4,268.2395,74,0.42,454,0
"476","Africa",57,319.372,88,2.96,768,0
"477","European Union",78.8,94.189,88,0.03,22297,1
"478","Africa",60.1,248.4295,77,0.4,1052,0
"479","European Union",75.8,131.9085,88,0.08,12237,1
"480","European Union",78.1,102.7445,88,0.03,20280,1
"481","Central America and Caribbean",70.6,186.2505,86,0.13,1472,0
"482","Central America and Caribbean",72.6,161.711,97,0.36,31408,0
"483","Africa",60.7,229.9,61,0.48,1296,0
"484","Central America and Caribbean",67.8,207.817,87,0.45,3195,0
"485","Asia",74.4,92.937,99,0.1,5647,0
"486","Africa",53.2,379.164,81,2.57,1230,0
"487","European Union",71.8,222.743,96,0.08,12425,1
"488","North America",74.9,110.8405,82,0.16,9617,0
"489","Africa",69.9,140.524,66,0.39,2106,0
"490","Middle East",68.3,179.8215,65,0.13,3493,0
"491","Central America and Caribbean",73.1,166.2075,99,0.4,8559,0
"492","South America",73.8,162.7195,92,0.22,4099,0
"493","Central America and Caribbean",62,218.9645,70,1.23,1081,0
"494","European Union",73.1,147.9935,98,0.01,8915,1
"495","Africa",53.4,468.51,93,10.53,5295,0
"496","European Union",78.6,82.5385,97,0.08,17830,1
"497","European Union",80.7,69.2705,88,0.04,52405,1
"498","Africa",73,151.4165,99,1.01,7818,0
"499","Africa",60.6,242.9535,82,0.33,1077,0
"500","Africa",60.7,264.471,96,1.04,654,0
"501","Africa",74.6,106.1,94,0.02,3851,0
"502","European Union",74.6,141.427,97,0.08,7878,1
"503","Africa",59.7,298.257,95,0.31,328,0
"504","Asia",67.3,156.4125,75,0.01,733,0
"505","Central America and Caribbean",77.5,122.8625,66,0.6,15905,0
"506","European Union",79.4,81.959,83,0.1,24708,1
"507","Asia",69.7,157.8785,99,0.14,2131,0
"508","Asia",67.6,191.3055,97,0.08,6149,0
